time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
0;0;0.0;0.0;14;1082880;1795144;89;12;14;68;78;68;74
1;0;0.0;0.0;14;1083672;1795144;89;8.5;14;38;26;23;27
2;0;0.0;0.0;14;1083672;1795144;89;7.3;14;22;19;18;20
3;0;0.0;0.0;14;1083672;1795144;89;7.5;14;23;19;21;22
4;0;0.0;0.0;14;1083672;1795144;89;7.5;14;22;18;20;21
5;0;0.0;0.0;14;1083672;1795144;89;7.2;14;25;19;21;27
6;0;0.0;0.0;14;1083672;1795144;89;7.3;14;23;18;18;20
7;0;0.0;0.0;14;1083672;1795144;89;7.5;14;25;20;21;24
8;0;0.0;0.0;14;1083672;1795144;90;7.5;14;31;29;33;34
9;0;0.0;0.0;14;1083672;1795144;89;8.0;14;27;24;27;27
10;0;0.0;0.0;14;1083672;1795144;90;8.3;14;41;40;41;37
11;0;0.0;0.0;14;1083672;1795144;90;8.5;14;39;69;55;58
12;0;0.0;0.0;14;1083672;1795144;90;9.0;14;44;50;55;50
13;0;0.0;0.0;14;1083672;1795144;90;7.2;14;24;20;40;25
14;0;0.0;0.0;14;1083672;1795144;90;7.5;14;27;22;22;22
15;0;0.0;0.0;14;1083672;1795144;90;7.2;14;24;19;20;21
16;0;0.0;0.0;14;1083672;1795144;90;7.8;14;24;18;17;21
17;0;0.0;0.0;14;1083672;1795144;90;7.3;14;24;19;19;22
18;0;0.0;0.0;14;1083672;1795144;90;7.5;14;25;25;22;25
19;0;0.0;0.0;14;1083672;1795144;90;7.2;14;25;17;17;19
20;0;0.0;0.0;14;1083672;1795144;90;8.0;14;37;32;29;30
21;0;0.0;0.0;14;1083672;1795144;90;7.3;14;27;20;29;25
22;0;0.0;0.0;14;1083672;1795144;90;8.3;14;30;29;30;37
23;0;0.0;0.0;14;1083672;1795144;90;7.5;14;23;28;21;27
24;0;0.0;0.0;14;1083672;1795144;90;8.8;14;36;37;35;45
25;0;0.0;0.0;14;1083672;1795144;90;7.5;14;20;23;18;22
26;0;0.0;0.0;14;1083672;1795144;90;7.3;14;21;21;18;21
27;0;0.0;0.0;14;1083672;1795144;89;7.5;14;21;21;17;19
28;0;0.0;0.0;14;1083672;1795144;90;8.0;14;28;32;28;36
29;0;0.0;0.0;14;1083672;1795144;90;7.5;14;25;31;23;28
30;0;0.0;0.0;14;1083672;1795144;90;8.8;14;36;35;39;37
31;0;0.0;0.0;14;1083672;1795144;90;8.0;14;35;41;34;42
32;0;0.0;0.0;14;1083672;1795144;90;7.5;14;24;21;20;23
33;0;0.0;0.0;14;1083672;1795144;90;7.8;14;27;22;20;24
34;0;0.0;0.0;14;1083672;1795144;89;7.2;14;25;20;22;22
35;0;0.0;0.0;14;1083672;1795144;89;7.2;14;24;19;19;22
36;0;0.0;0.0;14;1083672;1795144;90;7.2;14;24;21;19;21
37;0;0.0;0.0;14;1083672;1795144;90;8.3;14;37;36;26;32
38;0;0.0;0.0;14;1083672;1795144;90;7.5;14;28;23;25;26
39;0;0.0;0.0;14;1083672;1795144;90;8.5;14;36;34;42;34
40;0;0.0;0.0;14;1083672;1795144;90;7.8;14;26;21;22;25
41;0;0.0;0.0;14;1083672;1795144;90;7.5;14;24;21;19;21
42;0;0.0;0.0;14;1083672;1795144;89;7.5;14;26;25;22;27
43;0;0.0;0.0;14;1083672;1795144;89;8.2;14;31;31;28;33
44;0;0.0;0.0;14;1083672;1795144;89;7.3;14;26;22;19;21
45;0;0.0;0.0;14;1083672;1795144;90;7.2;14;23;18;16;20
46;0;0.0;0.0;14;1083672;1795144;90;7.5;14;23;18;17;20
47;0;0.0;0.0;14;1083672;1795144;89;8.0;14;30;27;28;29
48;0;0.0;0.0;14;1083672;1795144;89;7.5;14;25;21;22;22
49;0;0.0;0.0;14;1083672;1795144;89;7.8;14;23;24;20;26
50;0;0.0;0.0;14;1083672;1795144;89;7.3;14;18;25;15;20
51;0;0.0;0.0;14;1083672;1795144;89;7.5;14;23;27;20;25
52;0;0.0;0.0;14;1083672;1795144;90;8.2;14;29;29;25;36
53;0;0.0;0.0;14;1083672;1795144;90;8.5;14;33;34;39;33
54;0;0.0;0.0;14;1083672;1795144;89;7.5;14;23;20;21;24
55;0;0.0;0.0;14;1083672;1795144;89;7.3;14;25;20;19;24
56;0;0.0;0.0;14;1083672;1795144;89;7.5;14;25;18;18;21
57;0;0.0;0.0;14;1083672;1795144;89;7.3;14;24;18;18;20
58;0;0.0;0.0;14;1083672;1795144;89;7.5;14;22;19;17;23
59;0;0.0;0.0;14;1083672;1795144;89;7.0;14;27;17;18;20
60;0;0.0;0.0;14;1083672;1795144;89;7.5;14;25;18;16;19
61;0;0.0;0.0;14;1083672;1795144;89;7.5;14;26;20;18;22
62;0;0.0;0.0;14;1083672;1795144;89;7.5;14;25;18;18;20
63;0;0.0;0.0;14;1083672;1795144;89;7.5;14;26;19;17;19
64;0;0.0;0.0;14;1083672;1795144;89;7.5;14;29;20;20;20
65;0;0.0;0.0;14;1083672;1795144;89;7.5;14;23;19;17;21
66;0;0.0;0.0;14;1083672;1795144;89;7.5;14;24;20;19;22
67;0;0.0;0.0;14;1083672;1795144;89;7.5;14;28;21;22;25
68;0;0.0;0.0;14;1083672;1795144;89;7.5;14;25;20;20;23
69;0;0.0;0.0;14;1083672;1795144;89;7.2;14;24;17;17;20
70;0;0.0;0.0;14;1083672;1795144;89;8.3;14;33;31;31;32
71;0;0.0;0.0;14;1083672;1795144;89;7.5;14;27;21;21;23
72;0;0.0;0.0;14;1083672;1795144;90;8.0;14;31;27;31;30
73;0;0.0;0.0;14;1083672;1795144;89;7.5;14;23;18;19;21
74;0;0.0;0.0;14;1083672;1795144;89;7.0;14;22;18;18;20
75;0;0.0;0.0;14;1083672;1795144;89;7.2;14;23;20;17;20
76;0;0.0;0.0;14;1083672;1795144;89;7.5;14;22;19;18;20
77;0;0.0;0.0;14;1083672;1795144;89;7.3;14;28;21;18;23
78;0;0.0;0.0;14;1083672;1795144;90;8.5;14;32;32;30;31
79;0;0.0;0.0;14;1083672;1795144;90;7.2;14;25;20;20;23
80;0;0.0;0.0;14;1083672;1795144;89;7.8;14;30;25;27;26
81;0;0.0;0.0;14;1083672;1795144;90;8.5;14;31;30;38;34
82;0;0.0;0.0;14;1083672;1795144;90;8.0;14;32;28;28;30
83;0;0.0;0.0;14;1083672;1795144;90;8.0;14;30;26;30;30
